merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
Qvc Uk,yes,,Shopping,,,,
Rakuten,yes,,Shopping,,,,
RBS,yes,,Bills,,Internal,,
Rebtel,no,,Expenses,,,,
Red 5,no,,Shopping,,,,
Reiss,yes,,Shopping,,,,
RingGo,yes,,Transport,,,,
Ritazza,yes,,Coffee,,,,
Riverford Organic Vegetables,yes,,Groceries,,,,
Robert Dyas,yes,,Shopping,,,,
Robin Hood Energy,no,,Bills,Housing,Utilities,,
Rogers,yes,,Bills,Housing,Utilities,,
Royal Alliance Insurance,no,,Bills,,Insurance,,
RSPB,yes,,Charity,,,,
Russell & Bromley,yes,,Shopping,,,,
Ryman,yes,,Shopping,,Stationary,,
SafetyNet Credit,yes,,Expenses,,,,
Saffron,yes,,Shopping,,,,
Sainsbury's Energy,no,,Bills,Housing,Utilities,,
Sarah Raven,no,,Shopping,,,,
Savers,no,,PersonalCare,,,,
Savers Health & Beauty,yes,,PersonalCare,,,,
Schuh,yes,,Shopping,,,,
Scotmid,no,,Transport,,,,
ScotRail,yes,,Transport,,,,
Scottish Building Society,no,,Expenses,,,,
Scottish Equitable,yes,,Investments,,,,
Scottish Hydro,yes,,Bills,Housing,Utilities,,
Scottish Provident,yes,,Investments,,,,
