merchant_name,has_logo,impact,primary_category,secondary_category,other_categories,corrected_merchant_name,other_comments
US Fashion,yes,,Shopping,,,,
Valentino,no,,Shopping,,,,
Valfrutta,no,,Groceries,,,,
Valtur,yes,,Travel,,,,
Venchi,no,,Groceries,,,,
Verifone,no,,Bills,,,,
Vespa,no,,Transport,,,,
Via Condotti,no,,Shopping,,,,
Vibram,no,,Shopping,,,,
Village East,yes,,Shopping,,,,
Visconti,no,,Shopping,,,,
Vorwerk,no,,Shopping,,,,
Whyte & Brown,yes,,EatingOut,,,,
Wiener Haus,yes,,EatingOut,,,,
Wiener Linien,no,,Transport,,,,
Wikimedia Foundation,yes,,Charity,,,,
Wind,no,,Bills,,,,
World Of Delights,yes,,Shopping,,,,
WOW air,yes,,Travel,,,,
Yamamay,no,,Shopping,,,,
Yauatcha,no,,EatingOut,,,,
YellowTaxi,yes,,Travel,,,,
Yoox,no,,Shopping,,,,
Yun Quick,no,,EatingOut,,,,
Z generation,no,,Shopping,,,,
Zambon,no,,PersonalCare,,,,
Zanussi,no,,Housing,,,,
Nationwide,yes,,Bills,,Internal,,
Natwest,yes,,Bills,,Internal,,
NCP,yes,,Transport,,,,
Neals Yard,no,,Shopping,,,,
Nexus Venture Partners,no,,Investments,,,,
NFU Mutual,yes,,Bills,,Insurance,,
Nisa Local,yes,,Groceries,,,,
Northern Gas Networks,no,,Bills,Housing,Utilities,,
Northern Rail,no,,Transport,,,,
Norton,yes,,Expenses,,,,
NotOnTheHighStreet.com,yes,,Shopping,,,,
Now TV,no,,Leisure,,,,
npower,yes,,Bills,Housing,Utilities,,
Ns&I,yes,,Investments,,,,
NSPCC,yes,,Charity,,,,
Nuffield Health,yes,,PersonalCare,,,,
O'Neills Irish Pubs,no,,Drinks,,,,
O2,yes,,Bills,,,,
Oasis,yes,,Shopping,,,,
Ocado,yes,,Groceries,,,,
Octopus Energy,yes,,Bills,Housing,Utilities,,
ODEON,yes,,Leisure,,,,
Old Mutual,yes,,Investments,,,,
OLIVER BONAS,yes,,Shopping,,,,
Olympic Studios,no,,Leisure,,,,
Omega,yes,,Shopping,,,,
One Stop Shop,no,,Groceries,,,,
Optical Express,no,,PersonalCare,,,,
Orange Mobile,no,,Bills,,,,
Ovo Energy,yes,,Bills,Housing,Utilities,,
Oyster,yes,,Transport,,,,
Pact coffee,yes,,Coffee,,,,
Paperchase,yes,,Expenses,,Stationary,,
ParentPay,yes,,Education,,,,
Patisserie Valerie,yes,,Coffee,,,,
Patty And Bun,yes,,EatingOut,,,,
PayByPhone,yes,,Expenses,,,,
Paymentshield,yes,,Expenses,,,,
PCWorld.com,no,,Shopping,,,,
Peacock's Stores,yes,,Shopping,,,,
Perk Box,yes,,Shopping,,,,
Peterborough Energy,no,,Bills,Housing,Utilities,,
Pets at Home,yes,,Bills,,Pets,,
PFP Energy,yes,,Bills,Housing,Utilities,,
Pizza Express,yes,,EatingOut,,,,
Pizza Union,no,,EatingOut,,,,
Planet Organic,no,,Groceries,,,,
PlusNet,yes,,Bills,,,,
Pod Food,yes,,Lunch,,,,
Polo Factory Store,no,,Shopping,,,,
Post Office,yes,,Expenses,,,,
Poundland,yes,,Shopping,,,,
PoundStretcher,yes,,Shopping,,,,
Poundworld,yes,,Shopping,,,,
Powershop,yes,,Bills,Housing,Utilities,,
Premier Inn,no,,Travel,,,,
Premier Stores,yes,,Shopping,,,,
Prezzo,no,,EatingOut,,,,
Privilege Insurance,no,,Bills,,Insurance,,
Protect your bubble,yes,,Bills,,Insurance,,
Protein Haus,yes,,EatingOut,,,,
Prudential Financial,yes,,Bills,,Insurance,,
Psycle,no,,PersonalCare,,Gym,,
Pure,yes,,Lunch,,,,
Pure Gym,yes,,PersonalCare,,Gym,,
Purple Parking,no,,Transport,,,,
PWC,yes,,Expenses,,,,
QuickQuid,yes,,Expenses,,,,
Quidco,yes,,Shopping,,,,
Qvc Uk,yes,,Shopping,,,,
Rakuten,yes,,Shopping,,,,
RBS,yes,,Bills,,Internal,,
Rebtel,no,,Expenses,,,,
Red 5,no,,Shopping,,,,
Reiss,yes,,Shopping,,,,
RingGo,yes,,Transport,,,,
Ritazza,yes,,Coffee,,,,
Riverford Organic Vegetables,yes,,Groceries,,,,
Robert Dyas,yes,,Shopping,,,,
Robin Hood Energy,no,,Bills,Housing,Utilities,,
Rogers,yes,,Bills,Housing,Utilities,,
Royal Alliance Insurance,no,,Bills,,Insurance,,
RSPB,yes,,Charity,,,,
Russell & Bromley,yes,,Shopping,,,,
Ryman,yes,,Shopping,,Stationary,,
SafetyNet Credit,yes,,Expenses,,,,
Saffron,yes,,Shopping,,,,
Sainsbury's Energy,no,,Bills,Housing,Utilities,,
Sarah Raven,no,,Shopping,,,,
Savers,no,,PersonalCare,,,,
Savers Health & Beauty,yes,,PersonalCare,,,,
Schuh,yes,,Shopping,,,,
Scotmid,no,,Transport,,,,
ScotRail,yes,,Transport,,,,
